Region,Serif,Sans-Serif,Monospace
ar,Noto Naskh Arabic,Noto Kufi Arabic,Noto Mono
el,Noto Serif,Noto Sans,Noto Mono
x-ethi,Noto Serif,Noto Sans Ethiopic,Noto Mono
x-geor,Noto Serif,Noto Sans Georgian,Noto Mono
he,Noto Serif,Noto Sans Hebrew,Noto Mono
ja,Noto Serif CJK JP,Noto Sans CJK JP,Noto Sans Mono CJK JP
ko,Noto Serif CJK KR,Noto Sans CJK KR,Noto Sans Mono CJK KR
th,Noto Serif Thai,Noto Sans Thai,Noto Mono
x-armn,Noto Serif Armenian,Noto Sans Armenian,Noto Mono
x-beng,Noto Serif Bengali,Noto Sans Bengali,Noto Mono
x-cans,Noto Serif,Noto Sans Canadian Aboriginal,Noto Mono
x-cyrillic,Noto Serif,Noto Sans,Noto Mono
x-devanagari,Noto Serif Devanagari,Noto Sans Devanagari,Noto Mono
x-ethi,Noto Serif,Noto Sans,Noto Mono
x-geor,Noto Serif,Noto Sans,Noto Mono
x-gujr,Noto Serif Gujarati,Noto Sans Gujarati,Noto Mono
x-guru,Noto Serif,Noto Sans Gurmukhi,Noto Mono
x-khmr,Noto Serif Khmer,Noto Sans Khmer,Noto Mono
x-knda,Noto Serif Kannada,Noto Sans Kannada,Noto Mono
x-math,Noto Serif,Noto Sans,Noto Mono
x-mlym,Noto Serif Malayalam,Noto Sans Malayalam,Noto Mono
x-orya,Noto Serif,Noto Sans Oriya,Noto Mono
x-sinh,Noto Serif,Noto Sans Sinhala,Noto Mono
x-tamil,Noto Serif Tamil,Noto Sans Tamil,Noto Mono
x-telu,Noto Serif Telugu,Noto Sans Telugu,Noto Mono
x-tibt,Noto Serif,Noto Sans Tibetan,Noto Mono
x-unicode,Noto Serif,Noto Sans,Noto Mono
x-western,Noto Serif,Noto Sans,Noto Mono
zh-CN,Noto Serif CJK SC,Noto Sans CJK SC,Noto Sans Mono CJK SC
zh-HK,Noto Serif CJK TC,Noto Sans CJK TC,Noto Sans Mono CJK TC
zh-TW,Noto Serif CJK TC,Noto Sans CJK TC,Noto Sans Mono CJK TC
